system,group,trial,run,cost,conv_time_s,conv_step,avg_solve_ms,viol_pct,viol_count,mean_excess_ms,max_excess_ms,failures,theta_tol_deg,sim_steps
sys1,CNP ctx=50,5,run_20260619_143920,182.679,0.26,13.0,13.1,0.0,0,0.0,0.0,0,10.0,100
sys1,CNP ctx=100,1,run_20260619_144008,172.802,0.26,13.0,12.9,0.0,0,0.0,0.0,0,10.0,100
sys1,CNP ctx=100,2,run_20260619_144030,171.872,0.26,13.0,13.0,0.0,0,0.0,0.0,0,10.0,100
sys1,CNP ctx=100,3,run_20260619_144051,176.247,0.26,13.0,13.6,0.0,0,0.0,0.0,0,10.0,100
sys1,CNP ctx=100,4,run_20260619_144107,172.603,0.26,13.0,13.1,0.0,0,0.0,0.0,0,10.0,100
sys1,CNP ctx=100,5,run_20260619_144124,169.351,0.26,13.0,13.7,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=1,1,run_20260619_145940,362.663,0.74,37.0,14.2,1.0,1,1.25,1.25,0,10.0,100
sys3,CNP ctx=1,2,run_20260619_150031,558.135,1.12,56.0,14.9,4.0,4,2.94,7.31,0,10.0,100
sys3,CNP ctx=1,3,run_20260619_150048,694.137,1.16,58.0,15.1,1.0,1,5.71,5.71,0,10.0,100
sys3,CNP ctx=1,4,run_20260619_150103,526.322,1.1,55.0,15.5,5.0,5,2.27,7.32,0,10.0,100
sys3,CNP ctx=1,5,run_20260619_150119,846.816,1.64,82.0,16.4,8.0,8,4.02,10.65,0,10.0,100
sys3,CNP ctx=20,1,run_20260619_150240,327.198,0.74,37.0,14.4,1.0,1,6.17,6.17,0,10.0,100
sys3,CNP ctx=20,2,run_20260619_150303,326.375,0.74,37.0,14.1,1.0,1,5.52,5.52,0,10.0,100
sys3,CNP ctx=20,3,run_20260619_150321,319.354,0.74,37.0,14.0,2.0,2,5.21,5.98,0,10.0,100
sys3,CNP ctx=20,4,run_20260619_150352,328.065,0.74,37.0,14.0,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=20,5,run_20260619_150411,357.026,0.74,37.0,14.5,1.0,1,9.86,9.86,0,10.0,100
sys3,CNP ctx=50,1,run_20260619_150505,277.804,0.44,22.0,13.3,1.0,1,1.42,1.42,0,10.0,100
sys3,CNP ctx=50,2,run_20260619_150520,281.815,0.46,23.0,13.5,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=50,4,run_20260619_150617,340.195,0.44,22.0,14.4,5.0,5,3.74,8.75,0,10.0,100
sys3,CNP ctx=50,5,run_20260619_150636,275.004,0.46,23.0,13.3,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=100,1,run_20260619_150757,186.89,0.24,12.0,12.8,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=100,2,run_20260619_150819,197.878,0.24,12.0,13.2,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=100,3,run_20260619_150839,186.419,0.24,12.0,12.9,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=100,4,run_20260619_150859,184.607,0.26,13.0,12.8,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=100,5,run_20260619_150927,187.281,0.26,13.0,13.0,0.0,0,0.0,0.0,0,10.0,100
sys3,Equation (baseline),1,run_20260619_151047,182.226,0.5,25.0,8.0,0.0,0,0.0,0.0,0,10.0,100
sys3,Equation (baseline),2,run_20260619_151100,183.26,0.5,25.0,7.6,0.0,0,0.0,0.0,0,10.0,100
sys3,Equation (baseline),3,run_20260619_151112,182.584,0.48,24.0,7.9,0.0,0,0.0,0.0,0,10.0,100
sys3,Equation (baseline),4,run_20260619_151124,181.709,0.48,24.0,8.0,0.0,0,0.0,0.0,0,10.0,100
sys3,Equation (baseline),5,run_20260619_151142,180.874,0.48,24.0,7.8,0.0,0,0.0,0.0,0,10.0,100
sys3,CNP ctx=50,3,run_20260619_151307,275.782,0.46,23.0,13.4,0.0,0,0.0,0.0,0,10.0,100
